Month,Total Activities,Accepted Activities,Acceptance Rate
2023-01,112,47,0.41964285714285715
2023-02,120,56,0.4666666666666667
2023-03,162,84,0.5185185185185185
2023-04,120,49,0.4083333333333333
2023-05,107,38,0.35514018691588783
2023-06,98,41,0.41836734693877553
2023-07,136,82,0.6029411764705882
2023-08,147,75,0.5102040816326531
2023-09,91,68,0.7472527472527473
2023-10,153,76,0.49673202614379086
2023-11,149,72,0.48322147651006714
2023-12,130,71,0.5461538461538461
2024-01,137,72,0.5255474452554745
2024-02,93,72,0.7741935483870968
2024-03,124,70,0.5645161290322581
2024-04,76,42,0.5526315789473685
