Month,Total Activities,Accepted Activities,Acceptance Rate
2023-01,30,8,0.26666666666666666
2023-02,27,12,0.4444444444444444
2023-03,27,6,0.2222222222222222
2023-04,23,8,0.34782608695652173
2023-05,37,13,0.35135135135135137
2023-06,27,12,0.4444444444444444
2023-07,34,13,0.38235294117647056
2023-08,41,17,0.4146341463414634
2023-09,37,13,0.35135135135135137
2023-10,58,29,0.5
2023-11,31,6,0.1935483870967742
2023-12,37,10,0.2702702702702703
2024-01,47,15,0.3191489361702128
2024-02,28,8,0.2857142857142857
2024-03,37,5,0.13513513513513514
2024-04,43,10,0.23255813953488372
