Month,Total Activities,Accepted Activities,Acceptance Rate
2023-01,410,162,0.3951219512195122
2023-02,323,148,0.4582043343653251
2023-03,398,166,0.41708542713567837
2023-04,350,164,0.4685714285714286
2023-05,442,195,0.4411764705882353
2023-06,277,142,0.5126353790613718
2023-07,375,183,0.488
2023-08,328,151,0.4603658536585366
2023-09,398,150,0.3768844221105528
2023-10,404,197,0.4876237623762376
2023-11,398,183,0.45979899497487436
2023-12,420,159,0.37857142857142856
2024-01,399,174,0.43609022556390975
2024-02,395,148,0.37468354430379747
2024-03,374,142,0.37967914438502676
2024-04,296,125,0.4222972972972973
