Month,Total Activities,Accepted Activities,Acceptance Rate
2023-01,156,74,0.47435897435897434
2023-02,164,84,0.5121951219512195
2023-03,162,51,0.3148148148148148
2023-04,156,93,0.5961538461538461
2023-05,159,69,0.4339622641509434
2023-06,103,34,0.3300970873786408
2023-07,163,54,0.3312883435582822
2023-08,117,47,0.4017094017094017
2023-09,110,35,0.3181818181818182
2023-10,235,114,0.4851063829787234
2023-11,161,52,0.32298136645962733
2023-12,174,80,0.45977011494252873
2024-01,189,58,0.30687830687830686
2024-02,134,29,0.21641791044776118
2024-03,223,53,0.23766816143497757
2024-04,167,43,0.25748502994011974
