Month,Total Activities,Accepted Activities,Acceptance Rate
2023-01,119,81,0.680672268907563
2023-02,164,89,0.5426829268292683
2023-03,186,109,0.5860215053763441
2023-04,163,68,0.4171779141104294
2023-05,191,120,0.6282722513089005
2023-06,93,56,0.6021505376344086
2023-07,126,61,0.48412698412698413
2023-08,116,60,0.5172413793103449
2023-09,88,54,0.6136363636363636
2023-10,156,82,0.5256410256410257
2023-11,213,74,0.3474178403755869
2023-12,144,69,0.4791666666666667
2024-01,207,69,0.3333333333333333
2024-02,224,97,0.4330357142857143
2024-03,189,80,0.42328042328042326
2024-04,130,63,0.4846153846153846
