Month,Total Activities,Accepted Activities,Acceptance Rate
2023-01,31,8,0.25806451612903225
2023-02,45,4,0.08888888888888889
2023-03,41,17,0.4146341463414634
2023-04,26,8,0.3076923076923077
2023-05,22,7,0.3181818181818182
2023-06,10,5,0.5
2023-07,39,18,0.46153846153846156
2023-08,25,9,0.36
2023-09,27,14,0.5185185185185185
2023-10,37,10,0.2702702702702703
2023-11,53,10,0.18867924528301888
2023-12,29,9,0.3103448275862069
2024-01,43,16,0.37209302325581395
2024-02,6,5,0.8333333333333334
2024-03,26,13,0.5
2024-04,45,17,0.37777777777777777
