Month,Total Activities,Accepted Activities,Acceptance Rate
2023-01,1844,589,0.31941431670281994
2023-02,1973,626,0.31728332488596045
2023-03,2243,724,0.3227819884083816
2023-04,1765,657,0.37223796033994333
2023-05,2099,674,0.3211052882324917
2023-06,1528,512,0.33507853403141363
2023-07,2072,647,0.3122586872586873
2023-08,1879,610,0.3246407663650878
2023-09,1891,603,0.31887890005288205
2023-10,2323,827,0.3560051657339647
2023-11,2528,680,0.2689873417721519
2023-12,2048,633,0.30908203125
2024-01,2329,700,0.30055817947617003
2024-02,2102,660,0.3139866793529971
2024-03,2356,697,0.2958404074702886
2024-04,1841,599,0.3253666485605649
